ADDR,LAT,LON,HOUSE_ID,ADDRESS,YEAR,LASTUPDATE,SERVICEDATE_START,SERIE,HOUSE_TYPE,CAPFOND,MGMT_COMPANY,MGMT_COMPANY_LINK,AVAR,LEVELS_MAX,LEVELS_MIN,DOORS,ROOM_COUNT,ROOM_COUNT_LIVE,ROOM_COUNT_NONLIVE,AREA,AREA_LIVE,AREA_NONLIVE,AREA_GEN,AREA_LAND,AREA_PARK,CADNO,ENERGY_CLASS,BLAG_PLAYGROUND,BLAG_SPORT,BLAG_OTHER,OTHER
"Открытое шоссе, дом 6, корпус 7",55.809211,37.734299,7569232,"г. Москва, ш. Открытое, д. 6, к. 7",1963,29.01.2016 в 14:26,01.10.2014,I-511,Многоквартирный дом,На счете регионального оператора,"ГБУ ""Жилищник района Богородское""",http://www.reformagkh.ru/mymanager/profile/8921538/,Нет,5,1,4,80,80,0,3389.90,3365.20,24.70,346.00,0.00,0.00,,B,Имеется,Не имеется,0,0
"Открытое шоссе, дом 6, корпус 8",55.809494,37.733105,7567118,"г. Москва, ш. Открытое, д. 6, к. 8",1962,29.01.2016 в 14:28,01.07.2014,инд.,Многоквартирный дом,Не заполнено,"ГБУ ""Жилищник района Богородское""",http://www.reformagkh.ru/mymanager/profile/8921538/,Нет,5,1,2,62,62,0,3208.00,2768.00,440.00,372.00,0.00,0.00,,C,Имеется,Не имеется,0,0
"Открытое шоссе, дом 6, корпус 9",55.809499,37.732179,7558657,"г. Москва, ш. Открытое, д. 6, к. 9",1962,29.01.2016 в 14:30,01.10.2014,индивид.,Многоквартирный дом,На счете регионального оператора,"ГБУ ""Жилищник района Богородское""",http://www.reformagkh.ru/mymanager/profile/8921538/,Нет,5,1,2,147,147,0,3131.00,3131.00,0.00,324.70,0.00,0.00,,D,Не имеется,Не имеется,0,0
"Погонный проезд, дом 23, корпус 2",55.820627,37.713692,7567554,"г. Москва, проезд. Погонный, д. 23, к. 2",1970,29.01.2016 в 15:25,01.07.2014,инд.,Многоквартирный дом,Не заполнено,"ГБУ ""Жилищник района Богородское""",http://www.reformagkh.ru/mymanager/profile/8921538/,Нет,5,0,3,130,130,0,2861.00,1787.00,0.00,1074.00,0.00,0.00,,A,Имеется,Не имеется,Не заполнено,Не заполнено
"Погонный проезд, дом 23, корпус 3",55.820319,37.713135,7567582,"г. Москва, проезд. Погонный, д. 23, к. 3",1969,29.01.2016 в 15:21,01.07.2014,инд.,Многоквартирный дом,Не заполнено,"ГБУ ""Жилищник района Богородское""",http://www.reformagkh.ru/mymanager/profile/8921538/,Нет,5,0,3,130,130,0,2896.00,1821.00,0.00,1075.00,0.00,0.00,,A,Имеется,Не имеется,Не заполнено,Не заполнено
"Токарная улица, дом 12",55.816424,37.705257,8489585,"г. Москва, ул. Токарная, д. 12",1965,24.11.2015 в 12:02,25.08.2014,I-515,Многоквартирный дом,На специальном счете организации,"ООО ""ЭЛИТСТРОЙ""",http://www.reformagkh.ru/mymanager/profile/8918339/,Нет,5,5,6,119,119,0,5202.00,5202.00,0.00,0.00,0.00,0.00,,Не заполнено,Не имеется,Не имеется,Не заполнено,Не заполнено
"1-я Владимирская улица, дом 25, корпус 1",55.754522,37.777544,7677633,"г. Москва, ул. Владимирская 1-я, д. 25, к. 1",1962,04.03.2016 в 10:38,01.01.2010,Индивидуальный,Многоквартирный дом,На счете регионального оператора,"ООО ""УК ЮНИ-ДОМ""",http://www.reformagkh.ru/mymanager/profile/7567428/,Нет,5,5,4,83,80,3,4133.30,3450.60,720.90,1159.70,0.00,0.00,,D,Не имеется,Не имеется,Не заполнено,Не заполнено
"1-я Владимирская улица, дом 25, корпус 2",55.754659,37.778254,7677641,"г. Москва, ул. Владимирская 1-я, д. 25, к. 2",1966,29.02.2016 в 15:24,01.01.2010,1-515,Многоквартирный дом,На счете регионального оператора,"ООО ""УК ЮНИ-ДОМ""",http://www.reformagkh.ru/mymanager/profile/7567428/,Нет,5,5,4,80,80,0,3518.50,3518.50,0.00,1787.15,0.00,0.00,,D,Не имеется,Не имеется,Не заполнено,Не заполнено
"1-я Владимирская улица, дом 25, корпус 3",55.754796,37.778928,7677645,"г. Москва, ул. Владимирская 1-я, д. 25, к. 3",1966,29.02.2016 в 15:30,01.01.2010,1-515,Многоквартирный дом,На счете регионального оператора,"ООО ""УК ЮНИ-ДОМ""",http://www.reformagkh.ru/mymanager/profile/7567428/,Нет,5,5,4,80,80,0,3516.00,3516.00,0.00,1781.95,0.00,0.00,,E,Не имеется,Не имеется,Не заполнено,Не заполнено
"1-я Владимирская улица, дом 39/12",55.749522,37.780545,7677733,"г. Москва, ул. Владимирская 1-я, д. 39/12",1962,01.03.2016 в 10:31,01.07.2009,Индивидуальный,Многоквартирный дом,На счете регионального оператора,"ООО ""УК ЮНИ-ДОМ""",http://www.reformagkh.ru/mymanager/profile/7567428/,Нет,5,5,4,68,65,3,3447.10,2815.10,632.00,1204.65,0.00,0.00,,E,Не имеется,Не имеется,Не заполнено,Не заполнено
