ADDR,LAT,LON,HOUSE_ID,ADDRESS,YEAR,LASTUPDATE,SERVICEDATE_START,SERIE,HOUSE_TYPE,CAPFOND,MGMT_COMPANY,MGMT_COMPANY_LINK,AVAR,LEVELS_MAX,LEVELS_MIN,DOORS,ROOM_COUNT,ROOM_COUNT_LIVE,ROOM_COUNT_NONLIVE,AREA,AREA_LIVE,AREA_NONLIVE,AREA_GEN,AREA_LAND,AREA_PARK,CADNO,ENERGY_CLASS,BLAG_PLAYGROUND,BLAG_SPORT,BLAG_OTHER,OTHER
"город Зеленоград, улица Гоголя, дом 11А",55.987543,37.171487,7720237,"г. Москва, г. Зеленоград, ул. Гоголя, д. 11А",1967,28.01.2016 в 08:39,01.03.2015,447/С 12-а/6,Многоквартирный дом,На счете регионального оператора,"ГБУ ""ЖИЛИЩНИК РАЙОНА СИЛИНО""",http://www.reformagkh.ru/mymanager/profile/8929391/,Нет,5,0,6,80,80,0,4610.00,3635.00,975.00,4610.00,2492.00,Незаполнено,,C,Имеется,Не имеется,Не заполнено,Не заполнено
"город Зеленоград, улица Гоголя, дом 11Б",55.987004,37.171199,7721720,"г. Москва, г. Зеленоград, ул. Гоголя, д. 11Б",1969,27.01.2016 в 14:36,01.03.2015,1-447/С12-а/61,Многоквартирный дом,На счете регионального оператора,"ГБУ ""ЖИЛИЩНИК РАЙОНА СИЛИНО""",http://www.reformagkh.ru/mymanager/profile/8929391/,Нет,5,0,4,56,56,0,3340.00,2672.00,668.00,3340.00,1876.00,Незаполнено,,C,Имеется,Не имеется,Не заполнено,Не заполнено
"город Зеленоград, улица Гоголя, дом 11В",55.986224,37.171774,7721725,"г. Москва, г. Зеленоград, ул. Гоголя, д. 11В",1970,28.01.2016 в 08:37,01.03.2015,1-447/С 12-а/61,Многоквартирный дом,На счете регионального оператора,"ГБУ ""ЖИЛИЩНИК РАЙОНА СИЛИНО""",http://www.reformagkh.ru/mymanager/profile/8929391/,Нет,5,0,4,64,64,0,3204.00,2551.00,653.00,3204.00,1726.00,Незаполнено,,C,Имеется,Имеется,Не заполнено,Не заполнено
"город Зеленоград, корпус 925",55.983424,37.181836,7742561,"г. Москва, г. Зеленоград, д. 925",1967,18.02.2016 в 18:13,01.01.2012,I-515,Многоквартирный дом,На счете регионального оператора,"ГБУ ""Жилищник района Старое Крюково""",http://www.reformagkh.ru/mymanager/profile/7719301/,Нет,5,5,4,80,160,0,3566.00,3566.00,0.00,1265.80,Незаполнено,259.00,,C,Имеется,Не имеется,Не заполнено,Не заполнено
"город Зеленоград, корпус 926",55.983393,37.182617,7742563,"г. Москва, г. Зеленоград, д. 926",1967,18.02.2016 в 18:23,01.01.2012,I-515,Многоквартирный дом,На счете регионального оператора,"ГБУ ""Жилищник района Старое Крюково""",http://www.reformagkh.ru/mymanager/profile/7719301/,Нет,5,5,4,80,160,0,3550.00,3550.00,0.00,907.60,Незаполнено,273.00,,D,Не имеется,Не имеется,Не заполнено,Не заполнено
"город Зеленоград, корпус 927",55.983358,37.183381,7742567,"г. Москва, г. Зеленоград, д. 927",1967,18.02.2016 в 18:31,01.01.2012,I-515,Многоквартирный дом,На счете регионального оператора,"ГБУ ""Жилищник района Старое Крюково""",http://www.reformagkh.ru/mymanager/profile/7719301/,Нет,5,5,4,79,157,1,3619.00,3563.00,56.00,1300.30,Незаполнено,163.00,,D,Имеется,Не имеется,Не заполнено,Не заполнено
"город Зеленоград, Заводская улица, дом 10",55.976524,37.177200,7603373,"г. Москва, г. Зеленоград, ул. Заводская, д. 10",1961,02.03.2016 в 08:53,01.01.2012,Индив.,Многоквартирный дом,На специальном счете у регионального оператора,"ГБУ ""Жилищник района Крюково""",http://www.reformagkh.ru/mymanager/profile/8929884/,Нет,4,4,3,40,40,0,2254.00,1759.40,566.00,1318.60,8352.00,28.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"город Зеленоград, Заводская улица, дом 12А",55.976166,37.177739,7558949,"г. Москва, г. Зеленоград, ул. Заводская, д. 12а",1966,22.05.2015 в 20:42,Не заполнено,Инд,Многоквартирный дом,Не заполнено,Не заполнено,,Нет,5,Не заполнено,5,80,Не заполнено,Не заполнено,3404.00,2177.00,Незаполнено,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"город Зеленоград, Заводская улица, дом 12Б",55.975325,37.179608,7558950,"г. Москва, г. Зеленоград, ул. Заводская, д. 12б",1967,22.05.2015 в 20:42,Не заполнено,Инд,Многоквартирный дом,Не заполнено,Не заполнено,,Нет,5,Не заполнено,4,70,Не заполнено,Не заполнено,4126.00,2256.00,730.00,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"город Зеленоград, Заводская улица, дом 14",55.975546,37.177973,7603376,"г. Москва, г. Зеленоград, ул. Заводская, д. 14",1965,02.03.2016 в 08:53,01.01.2012,Индив.,Многоквартирный дом,На специальном счете у регионального оператора,"ГБУ ""Жилищник района Крюково""",http://www.reformagkh.ru/mymanager/profile/8929884/,Нет,5,5,4,66,66,0,3876.00,3141.40,1271.00,2400.50,11641.00,0.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"город Зеленоград, Заводская улица, дом 14А",55.975471,37.178961,7603378,"г. Москва, г. Зеленоград, ул. Заводская, д. 14а",1969,02.03.2016 в 08:53,01.01.2012,Индив.,Многоквартирный дом,На специальном счете у регионального оператора,"ГБУ ""Жилищник района Крюково""",http://www.reformagkh.ru/mymanager/profile/8929884/,Нет,5,5,4,74,74,0,3971.00,3490.20,993.00,2162.40,4140.00,37.00,,Не присвоен,Имеется,Имеется,Не заполнено,Не заполнено
"город Зеленоград, Заводская улица, дом 16",55.976045,37.179212,7603379,"г. Москва, г. Зеленоград, ул. Заводская, д. 16",1962,02.03.2016 в 08:53,01.01.2012,Индив.,Многоквартирный дом,На специальном счете у регионального оператора,"ГБУ ""Жилищник района Крюково""",http://www.reformagkh.ru/mymanager/profile/8929884/,Нет,2,2,2,16,16,0,641.00,641.00,257.00,316.00,0.00,0.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"город Зеленоград, Заводская улица, дом 2",55.977818,37.174865,7603359,"г. Москва, г. Зеленоград, ул. Заводская, д. 2",1969,02.03.2016 в 08:52,01.01.2012,Индив.,Многоквартирный дом,На специальном счете у регионального оператора,"ГБУ ""Жилищник района Крюково""",http://www.reformagkh.ru/mymanager/profile/8929884/,Нет,5,5,4,78,78,0,3695.00,3694.00,395.00,1695.40,9739.00,0.00,,Не присвоен,Имеется,Имеется,Не заполнено,Не заполнено
"город Зеленоград, Заводская улица, дом 4",55.977284,37.175565,7603361,"г. Москва, г. Зеленоград, ул. Заводская, д. 4",1962,02.03.2016 в 08:52,01.01.2012,Индив.,Многоквартирный дом,На специальном счете у регионального оператора,"ГБУ ""Жилищник района Крюково""",http://www.reformagkh.ru/mymanager/profile/8929884/,Нет,4,4,4,58,58,0,2573.00,2381.40,254.00,467.00,3083.00,76.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"город Зеленоград, Заводская улица, дом 4А",55.976599,37.175287,7603365,"г. Москва, г. Зеленоград, ул. Заводская, д. 4а",1966,02.03.2016 в 08:52,01.01.2012,Индив.,Многоквартирный дом,На специальном счете у регионального оператора,"ГБУ ""Жилищник района Крюково""",http://www.reformagkh.ru/mymanager/profile/8929884/,Нет,5,5,3,56,56,0,2488.00,2488.00,162.00,1089.30,3083.00,76.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"город Зеленоград, Заводская улица, дом 6",55.977052,37.176194,7603369,"г. Москва, г. Зеленоград, ул. Заводская, д. 6",1964,02.03.2016 в 08:52,01.01.2012,Индив.,Многоквартирный дом,На специальном счете у регионального оператора,"ГБУ ""Жилищник района Крюково""",http://www.reformagkh.ru/mymanager/profile/8929884/,Нет,5,5,4,64,64,0,4189.00,3167.10,1499.00,2742.60,2261.00,192.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"город Зеленоград, Заводская улица, дом 6А",55.976211,37.176365,7603370,"г. Москва, г. Зеленоград, ул. Заводская, д. 6а",1967,02.03.2016 в 08:52,01.01.2012,Индив.,Многоквартирный дом,На специальном счете у регионального оператора,"ГБУ ""Жилищник района Крюково""",http://www.reformagkh.ru/mymanager/profile/8929884/,Нет,5,5,3,56,56,0,2488.00,2322.40,166.00,1086.20,2780.00,283.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"город Зеленоград, Заводская улица, дом 8",55.976876,37.176778,7603372,"г. Москва, г. Зеленоград, ул. Заводская, д. 8",1963,02.03.2016 в 08:53,01.01.2012,Индив.,Многоквартирный дом,На специальном счете у регионального оператора,"ГБУ ""Жилищник района Крюково""",http://www.reformagkh.ru/mymanager/profile/8929884/,Нет,5,5,4,68,68,0,3196.00,2819.50,380.00,649.00,2782.00,283.75,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"город Зеленоград, корпус 1806",55.656209,37.464194,7558934,"г. Москва, г. Зеленоград, д. 1806",1970,22.05.2015 в 20:42,Не заполнено,I-447,Многоквартирный дом,Не заполнено,Не заполнено,,Нет,5,Не заполнено,8,129,Не заполнено,Не заполнено,6212.00,4098.00,0.00,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"город Зеленоград, корпус 1807",55.991893,37.214382,7558935,"г. Москва, г. Зеленоград, д. 1807",1971,22.05.2015 в 20:42,Не заполнено,I-447,Не заполнено,Не заполнено,Не заполнено,,Нет,5,Не заполнено,4,69,Не заполнено,Не заполнено,2914.00,1788.00,31.00,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"город Зеленоград, корпус 1808",55.980407,37.165082,7558936,"г. Москва, г. Зеленоград, д. 1808",1965,22.05.2015 в 20:42,Не заполнено,I-447,Многоквартирный дом,Не заполнено,Не заполнено,,Нет,5,Не заполнено,3,59,Не заполнено,Не заполнено,2561.00,1627.00,30.00,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"город Зеленоград, корпус 1809",55.991893,37.214382,7558947,"г. Москва, г. Зеленоград, д. 1809",1964,22.05.2015 в 20:42,Не заполнено,П-46,Многоквартирный дом,Не заполнено,Не заполнено,,Нет,5,Не заполнено,3,59,Не заполнено,Не заполнено,3108.00,1639.00,571.00,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"город Зеленоград, корпус 1810",55.656209,37.464194,7558948,"г. Москва, г. Зеленоград, д. 1810",1972,22.05.2015 в 20:42,Не заполнено,П-46,Многоквартирный дом,Не заполнено,Не заполнено,,Нет,5,Не заполнено,4,Не заполнено,Не заполнено,Не заполнено,3410.00,3352.00,8.00,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"город Зеленоград, Советская улица, дом 2",55.977939,37.17261,7603409,"г. Москва, г. Зеленоград, ул. Советская, д. 2",1973,02.03.2016 в 08:51,01.01.2012,Индив.,Многоквартирный дом,На специальном счете у регионального оператора,"ГБУ ""Жилищник района Крюково""",http://www.reformagkh.ru/mymanager/profile/8929884/,Нет,5,5,6,98,98,0,4816.00,4405.00,340.00,2749.70,6089.00,358.00,,Не присвоен,Имеется,Имеется,Не заполнено,Не заполнено
"город Зеленоград, Советская улица, дом 4",55.977823,37.17155,7558952,"г. Москва, г. Зеленоград, ул. Советская, д. 4",1974,22.05.2015 в 20:42,Не заполнено,Инд,Многоквартирный дом,Не заполнено,Не заполнено,,Нет,5,Не заполнено,4,60,Не заполнено,Не заполнено,2641.00,1805.00,Незаполнено,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"город Зеленоград, Советская улица, дом 6",55.977269,37.170616,7558953,"г. Москва, г. Зеленоград, ул. Советская, д. 6",1975,22.05.2015 в 20:42,Не заполнено,Инд,Многоквартирный дом,Не заполнено,Не заполнено,,Нет,5,Не заполнено,6,80,Не заполнено,Не заполнено,4610.00,2428.00,910.00,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"город Зеленоград, улица 1 Мая, дом 2",55.977385,37.173167,7603388,"г. Москва, г. Зеленоград, ул. 1 Мая, д. 2",1978,02.03.2016 в 08:51,01.01.2012,Индив.,Многоквартирный дом,На специальном счете у регионального оператора,"ГБУ ""Жилищник района Крюково""",http://www.reformagkh.ru/mymanager/profile/8929884/,Нет,5,5,8,117,117,0,5910.00,5261.30,669.00,2315.70,7167.00,0.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"город Зеленоград, улица 1 Мая, дом 4",55.976025,37.172754,7603393,"г. Москва, г. Зеленоград, ул. 1 Мая, д. 4",1975,02.03.2016 в 08:51,01.01.2012,Индив.,Многоквартирный дом,На специальном счете у регионального оператора,"ГБУ ""Жилищник района Крюково""",http://www.reformagkh.ru/mymanager/profile/8929884/,Нет,5,5,8,128,128,0,6440.00,6118.50,322.00,2579.80,12193.00,548.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"город Зеленоград, улица Крупской, дом 10",55.974902,37.173966,7603387,"г. Москва, г. Зеленоград, ул. Крупской, д. 10",1985,02.03.2016 в 08:52,01.01.2012,Индив.,Многоквартирный дом,На специальном счете у регионального оператора,"ГБУ ""Жилищник района Крюково""",http://www.reformagkh.ru/mymanager/profile/8929884/,Нет,5,5,6,80,80,0,4149.00,4149.00,1522.00,3188.50,4926.00,400.80,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"город Зеленоград, улица Крупской, дом 2",55.975068,37.175206,7603384,"г. Москва, г. Зеленоград, ул. Крупской, д. 2",1971,02.03.2016 в 08:51,01.01.2012,Индив.,Многоквартирный дом,На специальном счете у регионального оператора,"ГБУ ""Жилищник района Крюково""",http://www.reformagkh.ru/mymanager/profile/8929884/,Нет,5,5,4,77,77,0,3625.00,3582.00,343.00,1630.50,8151.00,768.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"город Зеленоград, улица Крупской, дом 6",55.974257,37.175413,7558951,"г. Москва, г. Зеленоград, ул. Крупской, д. 6",1976,22.05.2015 в 20:42,Не заполнено,Инд,Многоквартирный дом,Не заполнено,Не заполнено,,Нет,5,Не заполнено,4,80,Не заполнено,Не заполнено,3445.00,2172.00,Незаполнено,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"город Зеленоград, улица Ленина, дом 1",55.978468,37.17332,7603414,"г. Москва, г. Зеленоград, ул. Ленина, д. 1",1966,02.03.2016 в 08:50,01.01.2012,Индив.,Многоквартирный дом,На специальном счете у регионального оператора,"ГБУ ""Жилищник района Крюково""",http://www.reformagkh.ru/mymanager/profile/8929884/,Нет,5,5,3,58,58,0,3470.00,2493.00,1009.00,2135.50,3103.00,0.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"поселение Кокошкино, дачный посёлок Кокошкино, улица Труда, дом 1",55.602383,37.17226,7880456,"г. Москва, п. Кокошкино, дп. Кокошкино, ул. Труда, д. 1",1954,01.03.2016 в 10:16,01.02.2013,Индивидуальный проект,Многоквартирный дом,На счете регионального оператора,"ООО ""УК ПРИОРИТЕТ""",http://www.reformagkh.ru/mymanager/profile/7631494/,Нет,2,2,1,8,8,0,404.10,278.90,125.20,250.00,1690.10,0.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"поселение Кокошкино, дачный посёлок Кокошкино, улица Труда, дом 2",55.60193,37.172197,7880461,"г. Москва, п. Кокошкино, дп. Кокошкино, ул. Труда, д. 2",1954,01.03.2016 в 10:24,01.02.2013,Индивидуальный проект,Многоквартирный дом,На счете регионального оператора,"ООО ""УК ПРИОРИТЕТ""",http://www.reformagkh.ru/mymanager/profile/7631494/,Нет,2,2,1,8,8,0,406.20,278.50,127.70,250.00,1689.60,0.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"поселение Кокошкино, дачный посёлок Кокошкино, улица Труда, дом 3",55.602551,37.172682,7880464,"г. Москва, п. Кокошкино, дп. Кокошкино, ул. Труда, д. 3",1954,01.03.2016 в 10:27,01.02.2013,Индивидуальный проект,Многоквартирный дом,На счете регионального оператора,"ООО ""УК ПРИОРИТЕТ""",http://www.reformagkh.ru/mymanager/profile/7631494/,Нет,2,2,1,8,8,0,387.80,273.20,114.60,250.00,1922.10,0.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"поселение Кокошкино, дачный посёлок Кокошкино, улица Труда, дом 4",55.60222,37.171864,7880465,"г. Москва, п. Кокошкино, дп. Кокошкино, ул. Труда, д. 4",1954,01.03.2016 в 10:34,01.02.2013,Индивидуальный проект,Многоквартирный дом,На счете регионального оператора,"ООО ""УК ПРИОРИТЕТ""",http://www.reformagkh.ru/mymanager/profile/7631494/,Нет,2,2,1,8,8,0,403.60,277.30,126.30,250.00,1067.90,0.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"поселение ""Мосрентген"", посёлок Завода Мосрентген, дом 11",55.620972,37.473770,8472510,"г. Москва, п. Мосрентген, п. завода Мосрентген, д. 11",1958,09.02.2016 в 16:10,01.06.2013,Не заполнено,Многоквартирный дом,Не заполнено,МУП «УК ЖКХ Мосрентген»,http://www.reformagkh.ru/mymanager/profile/8194133/,Нет,2,Не заполнено,3,16,Не заполнено,Не заполнено,869.70,545.40,324.30,324.30,Незаполнено,Незаполнено,,Не заполнено,Не имеется,Не имеется,Не заполнено,Не заполнено
"поселение ""Мосрентген"", посёлок Завода Мосрентген, дом 19",55.620967,37.473770,8472602,"г. Москва, п. Мосрентген, п. завода Мосрентген, д. 19",1965,22.05.2015 в 20:42,01.08.2013,Не заполнено,Многоквартирный дом,Не заполнено,МУП «УК ЖКХ Мосрентген»,http://www.reformagkh.ru/mymanager/profile/8194133/,Нет,5,Не заполнено,4,75,Не заполнено,Не заполнено,3238.90,Незаполнено,212.30,Незаполнено,Незаполнено,Незаполнено,,Не присвоен,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"поселение ""Мосрентген"", посёлок Завода Мосрентген, дом 6",55.620967,37.47377,7981818,"г. Москва, п. Мосрентген, п. завода Мосрентген, д. 6",1969,22.05.2015 в 20:42,Не заполнено,I-511    кирпичный,Многоквартирный дом,Не заполнено,Не заполнено,,Нет,5,Не заполнено,4,79,Не заполнено,Не заполнено,3429.30,2264.00,1165.30,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"город Щербинка, Высотная улица, дом 3",55.509452,37.568156,8154049,"г. Москва, г. Щербинка, ул. Высотная, д. 3",1968,15.01.2016 в 15:43,Не заполнено,-,Многоквартирный дом,Не заполнено,Не заполнено,,Нет,5,Не заполнено,6,98,Не заполнено,Не заполнено,4590.70,4550.40,40.30,Незаполнено,4269.00,Незаполнено,,Не присвоен,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"город Щербинка, Железнодорожная улица, дом 14",55.501682,37.561464,8043833,"г. Москва, г. Щербинка, ул. Железнодорожная, д. 14",1951,19.01.2016 в 14:16,01.10.2010,кирпичный,Многоквартирный дом,На счете регионального оператора,"ООО ""Стройресурс""",http://www.reformagkh.ru/mymanager/profile/8043679/,Нет,2,2,2,16,16,0,936.10,640.10,0.00,296.00,692.00,0.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"город Щербинка, Железнодорожная улица, дом 2",55.504506,37.561535,8043826,"г. Москва, г. Щербинка, ул. Железнодорожная, д. 2",1952,19.01.2016 в 14:08,01.10.2010,кирпичный,Многоквартирный дом,На счете регионального оператора,"ООО ""Стройресурс""",http://www.reformagkh.ru/mymanager/profile/8043679/,Нет,2,2,2,12,12,0,792.10,610.50,0.00,181.60,2039.00,353.00,,Не присвоен,Имеется,Имеется,Не заполнено,Не заполнено
"город Щербинка, Железнодорожная улица, дом 8",55.502666,37.561473,8043830,"г. Москва, г. Щербинка, ул. Железнодорожная, д. 8",1953,19.01.2016 в 14:04,01.10.2010,шлакоблочный,Многоквартирный дом,На счете регионального оператора,"ООО ""Стройресурс""",http://www.reformagkh.ru/mymanager/profile/8043679/,Нет,2,2,1,21,21,0,794.50,401.50,0.00,393.00,2025.00,0.00,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено
"город Щербинка, Садовая улица, дом 6/10",55.514457,37.571094,8158572,"г. Москва, г. Щербинка, ул. Садовая, д. 6/10",1963,06.07.2015 в 17:35,01.03.2015,-,Многоквартирный дом,На специальном счете у регионального оператора,"ООО ""ЦЕНТР""ТЕХНОСТРОЙ""",http://www.reformagkh.ru/mymanager/profile/7639772/,Нет,5,5,3,60,60,0,2572.00,1666.80,0.00,Незаполнено,3978.00,Незаполнено,,Не присвоен,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"город Щербинка, Симферопольская улица, дом 4Б",55.507769,37.569683,8158580,"г. Москва, г. Щербинка, ул. Симферопольская, д. 4Б",1974,17.12.2015 в 16:46,01.05.2015,Панельный,Многоквартирный дом,На счете регионального оператора,"ООО ""ЖИЛ-КОМФОРТ""",http://www.reformagkh.ru/mymanager/profile/8920981/,Нет,5,5,6,90,90,0,4412.50,3074.20,0.00,Незаполнено,5981.00,Незаполнено,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"город Щербинка, улица 40 лет Октября, дом 1",55.511608,37.564257,8158589,"г. Москва, г. Щербинка, ул. 40 лет Октября, д. 1",1972,02.12.2015 в 13:00,01.06.2015,Не заполнено,Многоквартирный дом,На специальном счете у регионального оператора,"ООО ""ЦЕНТР""ТЕХНОСТРОЙ""",http://www.reformagkh.ru/mymanager/profile/7639772/,Нет,5,5,4,59,Не заполнено,Не заполнено,2942.90,2633.10,309.80,2942.90,5486.50,Незаполнено,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"город Щербинка, улица 40 лет Октября, дом 6/1",55.510752,37.568138,8158599,"г. Москва, г. Щербинка, ул. 40 лет Октября, д. 6/1",1971,15.01.2016 в 15:41,Не заполнено,панельный,Многоквартирный дом,На счете регионального оператора,Не заполнено,,Нет,5,5,6,99,98,1,4533.90,3016.10,89.90,1427.90,2698.00,Незаполнено,,Не присвоен,Имеется,Имеется,Не заполнено,Не заполнено
"город Щербинка, улица Котовского, дом 7",55.512475,37.564895,8154413,"г. Москва, г. Щербинка, ул. Котовского, д. 7",1956,06.07.2015 в 16:18,01.06.2015,-,Многоквартирный дом,На счете регионального оператора,"ООО ""ЦЕНТР""ТЕХНОСТРОЙ""",http://www.reformagkh.ru/mymanager/profile/7639772/,Нет,3,3,2,13,13,Не заполнено,701.90,701.90,346.50,Незаполнено,1493.00,Незаполнено,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"город Щербинка, улица Мостотреста, дом 14",55.515049,37.575217,8156059,"г. Москва, г. Щербинка, ул. Мостотреста, д. 14",1952,06.07.2015 в 15:09,01.03.2015,кирпичный,Многоквартирный дом,Не заполнено,"ООО ""ЦЕНТР""ТЕХНОСТРОЙ""",http://www.reformagkh.ru/mymanager/profile/7639772/,Нет,2,2,2,8,8,Не заполнено,477.20,419.00,0.00,Незаполнено,2676.00,Незаполнено,,Не присвоен,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"город Щербинка, улица Мостотреста, дом 16",55.515528,37.575361,8156065,"г. Москва, г. Щербинка, ул. Мостотреста, д. 16",1952,06.07.2015 в 15:06,01.03.2015,-,Многоквартирный дом,На счете регионального оператора,"ООО ""ЦЕНТР""ТЕХНОСТРОЙ""",http://www.reformagkh.ru/mymanager/profile/7639772/,Нет,2,2,2,8,8,Не заполнено,487.30,426.50,133.50,Незаполнено,2786.00,Незаполнено,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"город Щербинка, улица Мостотреста, дом 18",55.516155,37.575558,8156073,"г. Москва, г. Щербинка, ул. Мостотреста, д. 18",1961,06.07.2015 в 13:07,01.03.2015,кирпичный,Многоквартирный дом,На специальном счете у регионального оператора,"ООО ""ЦЕНТР""ТЕХНОСТРОЙ""",http://www.reformagkh.ru/mymanager/profile/7639772/,Нет,3,3,3,34,34,Не заполнено,1723.70,1467.70,278.40,Незаполнено,3898.00,Незаполнено,,Не присвоен,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"город Щербинка, улица Чапаева, дом 6",55.512806,37.571210,8158636,"г. Москва, г. Щербинка, ул. Чапаева, д. 6",1960,06.07.2015 в 09:25,01.03.2015,-,Многоквартирный дом,Не заполнено,"ООО ""ЦЕНТР""ТЕХНОСТРОЙ""",http://www.reformagkh.ru/mymanager/profile/7639772/,Нет,4,Не заполнено,2,32,Не заполнено,Не заполнено,1623.30,1280.80,0.00,Незаполнено,5008.00,Незаполнено,,Не присвоен,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"поселение Михайлово-Ярцевское, посёлок Армейский, дом 32",55.385290,37.200745,8659276,"г. Москва, п. Михайлово-Ярцевское, п. Армейский, д. 32",1959,11.12.2015 в 09:58,01.10.2013,нет,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Шишкин Лес""",http://www.reformagkh.ru/mymanager/profile/8234387/,Нет,1,1,4,4,4,0,132.00,95.60,0.00,132.00,0.00,0.00,,Не присвоен,Не имеется,Не имеется,нет,нет
"поселение Михайлово-Ярцевское, посёлок Армейский, дом 36",55.38529,37.200745,7639337,"г. Москва, п. Михайлово-Ярцевское, п. Армейский, д. 36",1988,11.12.2015 в 09:56,01.10.2013,нет,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Шишкин Лес""",http://www.reformagkh.ru/mymanager/profile/8234387/,Нет,2,1,2,8,8,0,366.74,225.10,0.00,366.74,0.00,0.00,,Не присвоен,Не имеется,Не имеется,нет,нет
"поселение Михайлово-Ярцевское, посёлок Шишкин Лес, дом 1",55.387898,37.140576,8651778,"г. Москва, п. Михайлово-Ярцевское, п. Шишкин Лес, д. 1",1964,10.12.2015 в 13:21,01.04.2012,нет,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Шишкин Лес""",http://www.reformagkh.ru/mymanager/profile/8234387/,Нет,4,1,3,48,48,0,2017.40,1327.90,0.00,2017.40,0.00,0.00,,Не присвоен,Не имеется,Не имеется,нет,нет
"поселение Михайлово-Ярцевское, посёлок Шишкин Лес, дом 10",55.413131,37.187594,8664484,"г. Москва, п. Михайлово-Ярцевское, п. Шишкин Лес, д. 10",1965,10.12.2015 в 14:54,01.04.2012,нет,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Шишкин Лес""",http://www.reformagkh.ru/mymanager/profile/8234387/,Нет,5,1,3,60,60,0,2605.40,1726.40,0.00,2605.40,0.00,0.00,,Не присвоен,Не имеется,Не имеется,нет,нет
"поселение Михайлово-Ярцевское, посёлок Шишкин Лес, дом 11",55.412487,37.187917,8664391,"г. Москва, п. Михайлово-Ярцевское, п. Шишкин Лес, д. 11",1964,10.12.2015 в 14:54,01.04.2012,нет,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Шишкин Лес""",http://www.reformagkh.ru/mymanager/profile/8234387/,Нет,5,1,4,80,80,0,3215.10,2096.80,0.00,3215.10,0.00,0.00,,Не присвоен,Не имеется,Не имеется,нет,нет
